"","factor1","factor2","factor3"
"99",-5.36711151961612,-2.94398868384385,-5.60121639937462
"100",-6.99473956922808,0.113905317719917,0.524301337835442
"101",-3.72813847339362,6.65983404981651,20.0641946945985
"102",13.0986665935372,1.67118917075191,-12.5076533762712
"103",3.73939746665062,-1.13768716364523,-0.246848711985639
"104",-7.22730401885637,-4.95223706049648,0.386175061906081
"105",10.4712960531666,-2.68050984829076,11.779580473402
"106",9.542615933632,7.28431206273937,-10.0480629543443
"107",-7.47988689885717,-2.65649650440604,12.1350203195702
"108",-3.30223783347706,-4.85269349828162,-13.5879149966291
"109",-7.37688198957906,-0.358035659376479,4.17258017234876
"110",-1.02902533596809,-1.20344913007869,2.83551600342428
